#Version:Network:host_ip:gateway:hostname:disktype(v=virt, s=phy):diskletter(usually a)
6:192.168.1:20:1:web01:v
6:192.168.1:21:1:web02:v
7:192.168.1:22:1:web03:v
5:192.168.1:33:1:leam_c5:v
6:192.168.1:34:1:leam_c6:v
7:192.168.1:35:1:leam_c7:v
8:192.168.1:36:1:leam_c8:v
7:192.168.1:40:1:db01:v
7:192.168.1:41:1:db02:v
7:192.168.1:42:1:c7:v
7:192.168.1:50:1:josiah:s:b
7:192.168.1:51:1:laptopa:s:b
7:192.168.1:52:1:laptopb:s:b
7:192.168.1:53:1:laptopc:s:b
7:192.168.1:55:1:shaphan:s:b
7:192.168.1:80:1:jenkins_1:v
7:192.168.1:83:1:monitor_1:v
7:192.168.1:60:1:ansible:v
7:192.168.1:200:1:psalms:s
7:192.168.1:201:1:proverbs:s
